split,model,fraction,seed,checkpoint_selection,metric,selected_candidate_id,baseline,selected,improvement,improvement_pct,accuracy_delta_pp
validation,g05_sign_only,1.0,42,structure,absolute_sign_accuracy,dropout020,0.8686000061035156,0.8734000015258789,0.004799995422363312,0.5526128699786438,0.47999954223633123
validation,g05_sign_only,1.0,42,structure,absolute_sign_set_accuracy,dropout020,0.832,0.833,0.0010000000000000009,0.1201923076923078,0.10000000000000009
validation,g05_sign_only,1.0,42,structure,charge_mae,dropout020,0.2972998046875,0.29456460189819333,0.0027352027893066677,0.920014997043713,
validation,g05_sign_only,1.0,42,structure,charge_magnitude_mae,dropout020,0.15574238395690918,0.15716864967346192,-0.0014262657165527437,-0.9157852090843576,
validation,g05_sign_only,1.0,42,structure,global_invariant_charge_mae,dropout020,0.18798015213012695,0.1912383861541748,-0.003258234024047846,-1.7332861938490045,
validation,g05_sign_only,1.0,42,structure,global_sign_accuracy,dropout020,0.859,0.859,0.0,0.0,0.0
validation,g05_sign_only,1.0,42,structure,global_sign_bce,dropout020,0.3491054496765137,0.3474003505706787,0.0017050991058349951,0.4884195040252065,
validation,g05_sign_only,1.0,42,structure,mean_position_3d_error,dropout020,0.7502518615722656,0.7264714584350586,0.023780403137207085,3.169655998903045,
validation,g05_sign_only,1.0,42,structure,mean_position_mae,dropout020,0.3692874755859375,0.3566276626586914,0.012659812927246106,3.42817283666584,
validation,g05_sign_only,1.0,42,structure,observations_per_sample,dropout020,32.0,32.0,0.0,0.0,
validation,g05_sign_only,1.0,42,structure,observed_sample_fraction,dropout020,1.0,1.0,0.0,0.0,
validation,g05_sign_only,1.0,42,structure,pairwise_relative_sign_accuracy,dropout020,0.9548000030517578,0.951999984741211,-0.0028000183105468812,-0.2932570487638653,-0.2800018310546881
validation,g05_sign_only,1.0,42,structure,position_mae_x,dropout020,0.44634907150268555,0.44601437759399415,0.0003346939086913969,0.07498478882561833,
validation,g05_sign_only,1.0,42,structure,position_mae_y,dropout020,0.43911053466796873,0.40965293502807615,0.029457599639892584,6.708470262998087,
validation,g05_sign_only,1.0,42,structure,position_mae_z,dropout020,0.22240278244018555,0.21421563529968263,0.00818714714050292,3.6812251405644285,
validation,g05_sign_only,1.0,42,structure,relative_configuration_accuracy,dropout020,0.92,0.915,-0.0050000000000000044,-0.5434782608695656,-0.5000000000000004
validation,g05_sign_only,1.0,42,structure,relative_sign_accuracy,dropout020,0.9624000015258789,0.9599999771118164,-0.002400024414062507,-0.24937909499763966,-0.2400024414062507
validation,g05_sign_only,1.0,42,total,loss_global_sign,dropout020,0.34910545086860656,0.34011833810806275,0.008987112760543814,2.5743261063907905,
validation,g05_sign_only,1.0,42,total,loss_magnitude,dropout020,0.07530006521940232,0.07505424177646637,0.00024582344293594405,0.32645847280435497,
validation,g05_sign_only,1.0,42,total,loss_position,dropout020,0.46072743344306943,0.43654400897026063,0.0241834244728088,5.24896559601048,
validation,g05_sign_only,1.0,42,total,loss_relative_sign,dropout020,0.06493445384502411,0.07212937426567077,-0.007194920420646664,-11.080281721962935,
validation,g05_sign_only,1.0,42,total,loss_structure,dropout020,0.6009619393348694,0.5837276191711426,0.017234320163726835,2.867788962276276,
validation,g05_sign_only,1.0,42,total,loss_total,dropout020,0.950067390203476,0.9238459572792053,0.026221432924270704,2.759955051046943,
validation,g05_sign_only,1.0,42,total,absolute_sign_accuracy,dropout020,0.8686000061035156,0.8751999893188477,0.0065999832153320614,0.759841488482042,0.6599983215332061
validation,g05_sign_only,1.0,42,total,absolute_sign_set_accuracy,dropout020,0.832,0.833,0.0010000000000000009,0.1201923076923078,0.10000000000000009
validation,g05_sign_only,1.0,42,total,charge_mae,dropout020,0.2972998046875,0.29115667724609373,0.006143127441406271,2.0663072577069066,
validation,g05_sign_only,1.0,42,total,charge_magnitude_mae,dropout020,0.15574238395690918,0.15675306129455566,-0.0010106773376464817,-0.6489417408212501,
validation,g05_sign_only,1.0,42,total,global_invariant_charge_mae,dropout020,0.18798015213012695,0.19218236541748046,-0.004202213287353512,-2.235455839212526,
validation,g05_sign_only,1.0,42,total,global_sign_accuracy,dropout020,0.859,0.862,0.0030000000000000027,0.3492433061699654,0.30000000000000027
validation,g05_sign_only,1.0,42,total,global_sign_bce,dropout020,0.3491054496765137,0.34011833572387695,0.008987113952636738,2.5743264566520896,
validation,g05_sign_only,1.0,42,total,mean_position_3d_error,dropout020,0.7502518615722656,0.730455940246582,0.01979592132568364,2.638570104204515,
validation,g05_sign_only,1.0,42,total,mean_position_mae,dropout020,0.3692874755859375,0.35969870376586915,0.009588771820068342,2.5965602556258163,
validation,g05_sign_only,1.0,42,total,observations_per_sample,dropout020,32.0,32.0,0.0,0.0,
validation,g05_sign_only,1.0,42,total,observed_sample_fraction,dropout020,1.0,1.0,0.0,0.0,
validation,g05_sign_only,1.0,42,total,pairwise_relative_sign_accuracy,dropout020,0.9548000030517578,0.9497999954223633,-0.005000007629394565,-0.5236706758916426,-0.5000007629394565
validation,g05_sign_only,1.0,42,total,position_mae_x,dropout020,0.44634907150268555,0.44460320281982424,0.0017458686828613068,0.39114423986223135,
validation,g05_sign_only,1.0,42,total,position_mae_y,dropout020,0.43911053466796873,0.4166631011962891,0.022447433471679656,5.112023442719991,
validation,g05_sign_only,1.0,42,total,position_mae_z,dropout020,0.22240278244018555,0.21782973670959474,0.004573045730590808,2.0561998732280755,
