split,candidate_id,fraction,seed,checkpoint_selection,metric,sign_only,full,full_improvement
validation,baseline,1.0,42,structure,global_sign_bce,0.3491054496765137,0.3471103820800781,0.0019950675964355846
validation,baseline,1.0,42,structure,mean_position_3d_error,0.7502518615722656,0.762980224609375,-0.012728363037109336
validation,baseline,1.0,42,structure,mean_position_mae,0.3692874755859375,0.37435241317749024,-0.005064937591552743
validation,baseline,1.0,42,structure,observations_per_sample,32.0,32.0,0.0
validation,baseline,1.0,42,structure,observed_sample_fraction,1.0,1.0,0.0
validation,baseline,1.0,42,structure,pairwise_relative_sign_accuracy,0.9548000030517578,0.9499999923706055,-0.0048000106811523224
validation,baseline,1.0,42,structure,position_mae_x,0.44634907150268555,0.4502324676513672,-0.0038833961486816615
validation,baseline,1.0,42,structure,position_mae_y,0.43911053466796873,0.44561796951293947,-0.006507434844970739
validation,baseline,1.0,42,structure,position_mae_z,0.22240278244018555,0.2272067642211914,-0.004803981781005856
validation,baseline,1.0,42,structure,relative_configuration_accuracy,0.92,0.912,-0.008000000000000007
validation,baseline,1.0,42,structure,relative_sign_accuracy,0.9624000015258789,0.9591999893188476,-0.0032000122070312553
validation,baseline,1.0,42,total,loss_global_sign,0.34910545086860656,0.3423144094944,0.006791041374206552
validation,baseline,1.0,42,total,loss_magnitude,0.07530006521940232,0.07456688964366913,0.0007331755757331859
validation,baseline,1.0,42,total,loss_position,0.46072743344306943,0.47153129410743716,-0.010803860664367726
validation,baseline,1.0,42,total,loss_relative_sign,0.06493445384502411,0.06672478348016739,-0.0017903296351432785
validation,baseline,1.0,42,total,loss_structure,0.6009619393348694,0.612822968006134,-0.011861028671264595
validation,baseline,1.0,42,total,loss_total,0.950067390203476,0.9551373775005341,-0.005069987297058098
validation,baseline,1.0,42,total,absolute_sign_accuracy,0.8686000061035156,0.8763999938964844,0.0077999877929687544
validation,baseline,1.0,42,total,absolute_sign_set_accuracy,0.832,0.837,0.0050000000000000044
validation,baseline,1.0,42,total,charge_mae,0.2972998046875,0.2904986991882324,0.006801105499267601
validation,baseline,1.0,42,total,charge_magnitude_mae,0.15574238395690918,0.15542917060852052,0.0003132133483886579
validation,baseline,1.0,42,total,global_invariant_charge_mae,0.18798015213012695,0.18885976409912109,-0.0008796119689941373
