test_example_index,mean_position_mae,mean_position_3d_error,position_mae_x,position_mae_y,position_mae_z,charge_magnitude_mae,charge_mae,global_invariant_charge_mae,relative_sign_accuracy,relative_configuration_accuracy,global_sign_accuracy,absolute_sign_accuracy,absolute_sign_set_accuracy,geometric_relative_sign_accuracy,geometric_relative_configuration_accuracy,geometric_mean_position_3d_error,relative_negative_count_accuracy,global_probability,global_target,global_confidence,relative_confidence,global_oracle_charge_mae,field_relative_l2,magnitude_field_relative_l2,g00_relative_l2
6718,0.289271742105484,0.6034719347953796,0.37373054027557373,0.38823118805885315,0.10585353523492813,0.12440388649702072,1.3442573547363281,0.12440388649702072,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6034719347953796,1.0,0.5236164927482605,0.0,0.5236164927482605,0.24497507512569427,0.12440388649702072,1.8365322650178826,0.17375096453146832,0.30591785831839235
3219,0.3201969861984253,0.6201712489128113,0.24509893357753754,0.42112651467323303,0.29436546564102173,0.13409772515296936,0.803902804851532,0.5243551135063171,0.6000000238418579,0.0,0.0,0.4000000059604645,0.0,0.20000000298023224,0.0,0.6156408190727234,0.0,0.8551864624023438,0.0,0.8551864624023438,0.8822770118713379,0.5243551135063171,0.21189965551138437,0.21189965551138437,0.4024337472457923
4465,0.518042802810669,1.0263166427612305,0.48694491386413574,0.808811604976654,0.2583718001842499,0.16569791734218597,0.16569791734218597,0.16569791734218597,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.9977763295173645,1.0,0.7099736928939819,1.0,0.7099736928939819,0.9999411106109619,0.16569791734218597,0.8646668509280354,0.7874870802132458,0.9381368116424776
1697,0.3728833794593811,0.7856199145317078,0.5056235194206238,0.5931367874145508,0.01988961175084114,0.1569918692111969,0.1569918692111969,0.1569918692111969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7856199145317078,1.0,0.768717348575592,1.0,0.768717348575592,0.9999885559082031,0.1569918692111969,0.5890773007545685,0.5484820828581447,0.8158243318062797
4892,0.46310263872146606,0.958375871181488,0.7880910038948059,0.5082166790962219,0.09300016611814499,0.13849245011806488,0.13849245011806488,0.13849245011806488,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.9218993186950684,1.0,0.9740930795669556,1.0,0.9740930795669556,0.9911414384841919,0.13849245011806488,0.16480741851876093,0.15519937171804288,0.25642179587719977
950,0.2619237005710602,0.5113739967346191,0.16729596257209778,0.3398558795452118,0.2786191999912262,0.2064935266971588,0.2064935266971588,0.2064935266971588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5113739967346191,1.0,0.9787469506263733,1.0,0.9787469506263733,0.9999730587005615,0.2064935266971588,0.5026658258410605,0.49470475478276715,1.6456073948282062
5387,0.3243377208709717,0.6608636975288391,0.3299609124660492,0.4356766641139984,0.20737557113170624,0.18457554280757904,0.18457554280757904,0.18457554280757904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6608636975288391,1.0,0.03494172915816307,0.0,0.9650582671165466,0.9965716600418091,0.18457554280757904,0.43065827961843856,0.42395386996612666,0.747550788144223
4871,0.3303986191749573,0.6361056566238403,0.5276812314987183,0.21029292047023773,0.25322169065475464,0.10639690607786179,0.10639690607786179,0.10639690607786179,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.6505895256996155,1.0,0.015609308145940304,0.0,0.9843906760215759,0.997763991355896,0.10639690607786179,0.3759710723145241,0.29444742593679274,0.33026385291613697
5279,0.21979044377803802,0.47442999482154846,0.15802763402462006,0.42103609442710876,0.08030755072832108,0.09187179058790207,0.09187179058790207,0.09187179058790207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47442999482154846,1.0,0.9459508657455444,1.0,0.9459508657455444,0.9879209995269775,0.09187179058790207,0.09988215208632166,0.09988215208632166,0.20248289917001044
2371,0.6228320002555847,1.2900259494781494,1.0290412902832031,0.6060927510261536,0.23336195945739746,0.17890724539756775,0.17890724539756775,0.17890724539756775,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.8678268790245056,1.0,0.43364161252975464,0.0,0.5663583874702454,0.9994648098945618,0.17890724539756775,1.035480195525508,0.6526489182857924,0.8617240382906216
