seed,protocol_fingerprint,model,fraction,sensor_count,selection,epoch,validation_loss,absolute_sign_accuracy,absolute_sign_set_accuracy,charge_mae,charge_magnitude_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,mean_position_3d_error,mean_position_mae,observations_per_sample,observed_sample_fraction,pairwise_relative_sign_accuracy,position_mae_x,position_mae_y,position_mae_z,relative_configuration_accuracy,relative_sign_accuracy,source
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.5,16,structure,42,0.6017102870941162,0.8755999832153321,0.831,0.29265279960632323,0.15650936889648437,0.1964940013885498,0.866,0.33865685272216794,0.7439989242553711,0.3639672737121582,16.0,1.0,0.9463999938964843,0.45309569931030275,0.4140042381286621,0.22480184745788573,0.907,0.9584000091552735,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_050pct__seed_42__8c9fbcc55de0\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.5,16,total,42,0.952314868927002,0.8755999832153321,0.831,0.29265279960632323,0.15650936889648437,0.1964940013885498,0.866,0.33865685272216794,0.7439989242553711,0.3639672737121582,16.0,1.0,0.9463999938964843,0.45309569931030275,0.4140042381286621,0.22480184745788573,0.907,0.9584000091552735,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_050pct__seed_42__8c9fbcc55de0\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.75,24,structure,33,0.6103228888511658,0.8794000015258789,0.837,0.2899287147521973,0.15652999687194824,0.19389896774291993,0.865,0.3387003364562988,0.7578502273559571,0.3726293296813965,24.0,1.0,0.9475999984741211,0.45291552352905273,0.4344385719299316,0.23053388023376464,0.908,0.9575999984741211,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_075pct__seed_42__ea2fff605788\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.75,24,total,35,0.9575091617107392,0.8856000137329102,0.844,0.2831392707824707,0.1560608444213867,0.19380386924743653,0.87,0.3388747520446777,0.7571131210327149,0.37165554428100583,24.0,1.0,0.9478000030517578,0.4532449493408203,0.4325502052307129,0.22917145729064942,0.908,0.9571999893188476,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_075pct__seed_42__ea2fff605788\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,1.0,32,structure,40,0.6107982482910156,0.865,0.82,0.3060613555908203,0.15538612174987793,0.1958992214202881,0.843,0.38615690994262697,0.7472522811889648,0.36521717071533205,32.0,1.0,0.9441999893188476,0.46033802032470705,0.4157281265258789,0.2195853385925293,0.902,0.9548000030517578,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_100pct__seed_42__e2a69d923385\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,1.0,32,total,38,0.9530538766384125,0.8866000137329102,0.842,0.2814513397216797,0.1561046314239502,0.19357981872558594,0.867,0.33661320877075196,0.7480817413330079,0.3651225395202637,32.0,1.0,0.947,0.4632654342651367,0.4096050109863281,0.22249712181091308,0.908,0.9588000030517578,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_100pct__seed_42__e2a69d923385\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.0,0,structure,27,0.6065466957092285,,,0.1953316078186035,0.1591237678527832,0.1953316078186035,,,0.76283984375,0.3746533432006836,0.0,0.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_000pct__seed_42__7381148c39db\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.0,0,total,27,0.6065466957092285,,,0.1953316078186035,0.1591237678527832,0.1953316078186035,,,0.76283984375,0.3746533432006836,0.0,0.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_000pct__seed_42__7381148c39db\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.1,3,structure,27,0.6065466957092285,0.8698000106811523,0.829,0.3016634941101074,0.1591237678527832,0.1953316078186035,0.849,0.3644038848876953,0.76283984375,0.3746533432006836,3.0,1.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_010pct__seed_42__c436f6048f89\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.1,3,total,27,0.9815000081062317,0.8698000106811523,0.829,0.3016634941101074,0.1591237678527832,0.1953316078186035,0.849,0.3644038848876953,0.76283984375,0.3746533432006836,3.0,1.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_010pct__seed_42__c436f6048f89\result.json
