seed,protocol_fingerprint,fraction,sensor_count,selection,metric,sign_only,full,improvement,relative_improvement_percent
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,global_invariant_charge_mae,0.19086493301391602,0.1968714771270752,-0.006006544113159179,-3.1470129260052397
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,position_mae_x,0.44510157012939455,0.4767391967773438,-0.031637626647949224,-7.107956648805331
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,position_mae_y,0.41491066360473633,0.43863385009765626,-0.023723186492919934,-5.7176613121517095
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,position_mae_z,0.2198360366821289,0.224801664352417,-0.004965627670288103,-2.2587869328576615
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,mean_position_mae,0.35994944763183595,0.38005825424194334,-0.020108806610107388,-5.586564097377115
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,mean_position_3d_error,0.7332394638061523,0.775558120727539,-0.0423186569213867,-5.771464713821588
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,charge_magnitude_mae,0.15552479934692381,0.1560696201324463,-0.0005448207855224818,-0.3503111965488982
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,relative_sign_accuracy,0.9627999954223633,0.9575999908447266,-0.0052000045776366965,-0.5400918781013856
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,relative_configuration_accuracy,0.915,0.908,-0.007000000000000006,-0.7650273224043722
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,pairwise_relative_sign_accuracy,0.9505999984741211,0.9475999984741211,-0.0030000000000000027,-0.3155901540937856
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,global_sign_accuracy,0.862,0.86,-0.0020000000000000018,-0.232018561484919
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,global_sign_bce,0.3452809066772461,0.35395320892333987,-0.008672302246093777,-2.511665741830398
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,absolute_sign_accuracy,0.88,0.88,0.0,0.0
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,absolute_sign_set_accuracy,0.841,0.84,-0.0010000000000000009,-0.11890606420927478
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,charge_mae,0.2870969715118408,0.28798665046691896,-0.0008896789550781325,-0.3098879623818809
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,structure,global_invariant_charge_mae,0.19086493301391602,0.19319739151000975,-0.002332458496093731,-1.2220466375160024
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,position_mae_x,0.44510157012939455,0.4741160659790039,-0.029014495849609356,-6.518623567464526
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,position_mae_y,0.41491066360473633,0.42466164398193357,-0.009750980377197238,-2.3501397367040164
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,position_mae_z,0.2198360366821289,0.2191256980895996,0.0007103385925292804,0.3231219973076534
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,mean_position_mae,0.35994944763183595,0.3726344871520996,-0.012685039520263675,-3.5241169569006274
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,mean_position_3d_error,0.7332394638061523,0.7626555862426758,-0.029416122436523473,-4.011802949588684
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,charge_magnitude_mae,0.15552479934692381,0.1563466968536377,-0.0008218975067138812,-0.5284671706153452
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,relative_sign_accuracy,0.9627999954223633,0.96,-0.0027999954223633106,-0.290817972130858
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,relative_configuration_accuracy,0.915,0.908,-0.007000000000000006,-0.7650273224043722
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,pairwise_relative_sign_accuracy,0.9505999984741211,0.9463999938964843,-0.004200004577636807,-0.44182669728366786
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,global_sign_accuracy,0.862,0.862,0.0,0.0
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,global_sign_bce,0.3452809066772461,0.34523715209960937,4.375457763672319e-05,0.012672168310083566
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,absolute_sign_accuracy,0.88,0.8764000015258789,-0.003599998474121069,-0.409090735695576
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,absolute_sign_set_accuracy,0.841,0.833,-0.008000000000000007,-0.9512485136741983
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,charge_mae,0.2870969715118408,0.2942591857910156,-0.0071622142791747945,-2.4947021354697227
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.5,16,total,global_invariant_charge_mae,0.19086493301391602,0.19571336555480956,-0.004848432540893538,-2.540242706888456
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,position_mae_x,0.44510157012939455,0.46193317794799804,-0.01683160781860349,-3.781520656894202
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,position_mae_y,0.41491066360473633,0.4041538581848145,0.010756805419921855,2.5925594021775495
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,position_mae_z,0.2198360366821289,0.22417337799072265,-0.004337341308593756,-1.9729892214465816
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,mean_position_mae,0.35994944763183595,0.3634201507568359,-0.0034707031249999742,-0.9642196002339429
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,mean_position_3d_error,0.7332394638061523,0.74100244140625,-0.007762977600097698,-1.0587233752805767
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,charge_magnitude_mae,0.15552479934692381,0.15620050430297852,-0.0006757049560547068,-0.43446765975079965
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,relative_sign_accuracy,0.9627999954223633,0.9567999877929687,-0.006000007629394566,-0.6231831800915691
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,relative_configuration_accuracy,0.915,0.904,-0.01100000000000001,-1.2021857923497279
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,pairwise_relative_sign_accuracy,0.9505999984741211,0.9448000106811524,-0.005799987792968753,-0.6101396804416942
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,global_sign_accuracy,0.867,0.867,0.0,0.0
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,global_sign_bce,0.34232909393310545,0.34574879455566404,-0.0034197006225585858,-0.9989512089868791
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,absolute_sign_accuracy,0.885,0.8758000030517578,-0.00919999694824225,-1.039547677767486
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,absolute_sign_set_accuracy,0.847,0.831,-0.016000000000000014,-1.8890200708382543
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,charge_mae,0.2811720142364502,0.29477050399780275,-0.013598489761352528,-4.836359620739831
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,structure,global_invariant_charge_mae,0.19086493301391602,0.19695333671569823,-0.006088403701782208,-3.1899016784493885
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,total,position_mae_x,0.44510157012939455,0.46193317794799804,-0.01683160781860349,-3.781520656894202
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,total,position_mae_y,0.41491066360473633,0.4041538581848145,0.010756805419921855,2.5925594021775495
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,total,position_mae_z,0.2198360366821289,0.22417337799072265,-0.004337341308593756,-1.9729892214465816
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,total,mean_position_mae,0.35994944763183595,0.3634201507568359,-0.0034707031249999742,-0.9642196002339429
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,total,mean_position_3d_error,0.7332394638061523,0.74100244140625,-0.007762977600097698,-1.0587233752805767
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,total,charge_magnitude_mae,0.15552479934692381,0.15620050430297852,-0.0006757049560547068,-0.43446765975079965
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.75,24,total,relative_sign_accuracy,0.9627999954223633,0.9567999877929687,-0.006000007629394566,-0.6231831800915691
